CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason;Age;Under 30;Married;Number of Dependents;Quarter;Referred a Friend;Number of Referrals;Offer;Avg Monthly Long Distance Charges;Internet Type;Avg Monthly GB Download;Streaming Music;Unlimited Data;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue;Satisfaction Score;Customer Status;Churn Category;Population
8402-OOOHJ;1;United States;California;Buena Park;90620;33.845706, -118.012204;33,845706;-118,012204;Female;No;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,65;835,15;No;0;59;5918;Not Churned;53;No;No;0;Q3;No;0;None;31,62;None;0;No;No;0;0;1296,42;2131,57;5;Stayed;Not Churned;44442
6217-KDYWC;1;United States;California;Lomita;90717;33.794209, -118.317354;33,794209;-118,317354;Male;No;No;No;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,6;1170,55;No;0;40;4393;Not Churned;58;No;No;0;Q3;No;0;None;5,71;None;0;No;No;0;0;325,47;1496,02;3;Stayed;Not Churned;21065
7083-MIOPC;1;United States;California;Burbank;91505;34.174215, -118.345928;34,174215;-118,345928;Female;No;No;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,25;1566,9;No;0;49;5733;Not Churned;62;No;No;0;Q3;No;0;None;42,36;None;0;No;No;0;0;3049,92;4616,82;4;Stayed;Not Churned;29245
1563-IWQEX;1;United States;California;Chula Vista;91913;32.64164, -116.985026;32,64164;-116,985026;Female;No;No;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,7;220,35;No;0;71;5715;Not Churned;43;No;No;0;Q3;No;0;None;18,71;None;0;No;No;0;0;224,52;444,87;3;Stayed;Not Churned;12884
5176-LMJXE;1;United States;California;San Diego;92114;32.707892, -117.05512;32,707892;-117,05512;Female;No;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;20,55;945,7;No;0;53;5404;Not Churned;34;No;No;0;Q3;No;0;None;44,69;None;0;No;No;0;0;2100,43;3046,13;4;Stayed;Not Churned;66838
9967-ATRFS;1;United States;California;Calipatria;92233;33.143826, -115.497485;33,143826;-115,497485;Female;No;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,9;367,55;No;0;21;3245;Not Churned;47;No;No;0;Q3;No;0;None;32,03;None;0;No;No;0;0;608,57;976,12;5;Stayed;Not Churned;7857
2277-AXSDC;1;United States;California;El Centro;92243;32.770393, -115.60915;32,770393;-115,60915;Female;No;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,75;624,15;No;0;46;4691;Not Churned;46;No;No;0;Q3;No;0;None;43,8;None;0;No;No;0;0;1401,6;2025,75;4;Stayed;Not Churned;43712
9442-JTWDL;1;United States;California;Heber;92249;32.730583, -115.501083;32,730583;-115,501083;Female;No;No;No;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,05;237,7;No;0;48;5355;Not Churned;52;No;No;0;Q3;No;0;None;26,85;None;0;No;No;0;0;295,35;533,05;4;Stayed;Not Churned;3535
5495-GPSRW;1;United States;California;Joshua Tree;92252;34.167236, -116.281511;34,167236;-116,281511;Male;No;No;No;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,7;419,4;No;0;56;2120;Not Churned;62;No;No;0;Q3;No;0;None;27,11;None;0;No;No;0;0;542,2;961,6;5;Stayed;Not Churned;8141
8138-EALND;1;United States;California;Laguna Hills;92653;33.606899, -117.717854;33,606899;-117,717854;Male;No;No;No;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,75;311,6;No;0;29;4123;Not Churned;35;No;No;0;Q3;No;0;None;3,49;None;0;No;No;0;0;52,35;363,95;5;Stayed;Not Churned;48273
5148-HKFIR;1;United States;California;Piru;93040;34.432843, -118.730106;34,432843;-118,730106;Female;No;No;No;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,7;406,95;No;0;76;4404;Not Churned;49;No;No;0;Q3;No;0;None;15,87;None;0;No;No;0;0;317,4;724,35;5;Stayed;Not Churned;1459
7665-VIGUD;1;United States;California;Santa Barbara;93108;34.457541, -119.631072;34,457541;-119,631072;Male;No;No;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,35;176,3;No;0;38;4745;Not Churned;40;No;No;0;Q3;No;0;None;17,4;None;0;No;No;0;0;174;350,3;5;Stayed;Not Churned;12741
6621-YOBKI;1;United States;California;San Ardo;93450;35.996008, -120.85305;35,996008;-120,85305;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;92,75;No;0;76;2303;Not Churned;46;No;No;0;Q3;No;0;None;31,78;None;0;No;No;0;0;158,9;251,65;4;Stayed;Not Churned;670
3115-CZMZD;1;United States;California;Independence;93526;36.869584, -118.189241;36,869584;-118,189241;Male;No;No;No;0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,25;;No;0;68;5504;Not Churned;24;Yes;No;0;Q3;No;0;None;13,16;None;0;No;No;0;0;131,6;334,1;4;Stayed;Not Churned;734
4625-LAMOB;1;United States;California;Fresno;93705;36.78724, -119.827813;36,78724;-119,827813;Male;No;No;No;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,4;905,55;No;0;55;2404;Not Churned;36;No;No;0;Q3;No;0;None;1,4;None;0;No;No;0;0;61,6;967,15;5;Stayed;Not Churned;35451
7695-PKLCZ;1;United States;California;Salinas;93908;36.624338, -121.615669;36,624338;-121,615669;Female;No;No;No;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,5;1424,9;No;0;68;4201;Not Churned;32;No;No;0;Q3;No;0;None;48,41;None;0;No;No;0;0;3291,88;4716,78;4;Stayed;Not Churned;13027
2732-ISEZX;1;United States;California;Pacific Grove;93950;36.618337, -121.926417;36,618337;-121,926417;Female;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,5;104,3;No;0;53;5263;Not Churned;44;No;No;0;Q3;No;0;None;24,61;None;0;No;No;0;0;123,05;227,35;3;Stayed;Not Churned;15449
5993-BQHEA;1;United States;California;San Francisco;94111;37.801776, -122.402293;37,801776;-122,402293;Male;No;No;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,05;267;No;0;62;4018;Not Churned;42;No;No;0;Q3;No;0;None;16,59;None;0;No;No;0;0;199,08;466,08;3;Stayed;Not Churned;3337
8942-DBMHZ;1;United States;California;San Francisco;94122;37.760412, -122.484966;37,760412;-122,484966;Male;No;No;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,45;255,35;No;0;80;4883;Not Churned;26;Yes;No;0;Q3;No;0;None;41,11;None;0;No;No;0;0;493,32;748,67;5;Stayed;Not Churned;55504
0347-UBKUZ;1;United States;California;San Mateo;94404;37.556094, -122.272437;37,556094;-122,272437;Female;No;No;No;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,9;320,45;No;0;29;3366;Not Churned;46;No;No;0;Q3;No;0;None;2,74;None;0;No;No;0;0;41,1;361,55;4;Stayed;Not Churned;31882
0835-DUUIQ;1;United States;California;Alameda;94501;37.774633, -122.274434;37,774633;-122,274434;Female;No;No;No;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);21,05;531,55;No;0;63;2050;Not Churned;55;No;No;0;Q3;No;0;None;47,31;None;0;No;No;0;0;1135,44;1666,99;5;Stayed;Not Churned;58555
4378-BZYFP;1;United States;California;Fairfield;94533;38.287136, -122.02711;38,287136;-122,02711;Male;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,5;365,8;No;0;65;2259;Not Churned;41;No;No;0;Q3;No;0;None;42,66;None;0;No;No;0;0;725,22;1091,02;3;Stayed;Not Churned;77683
8917-FAEMR;1;United States;California;Vallejo;94590;38.104705, -122.247387;38,104705;-122,247387;Female;No;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,85;784,25;No;0;27;3408;Not Churned;28;Yes;No;0;Q3;No;0;None;26,49;None;0;No;No;0;0;980,13;1764,38;3;Stayed;Not Churned;37218
2829-HYVZP;1;United States;California;Fairfax;94930;37.971751, -122.611873;37,971751;-122,611873;Male;No;No;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19,8;572,2;No;0;69;5696;Not Churned;42;No;No;0;Q3;No;0;None;46,12;None;0;No;No;0;0;1337,48;1909,68;4;Stayed;Not Churned;8486
3486-NPGST;1;United States;California;Mill Valley;94941;37.901371, -122.572024;37,901371;-122,572024;Female;No;No;No;36;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,55;620,75;No;0;47;2691;Not Churned;47;No;No;0;Q3;No;0;None;41,33;None;0;No;No;0;0;1487,88;2108,63;5;Stayed;Not Churned;28727
0098-BOWSO;1;United States;California;San Jose;95131;37.387027, -121.897775;37,387027;-121,897775;Male;No;No;No;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19,4;529,8;No;0;39;3792;Not Churned;26;Yes;No;0;Q3;No;0;None;20,66;None;0;No;No;0;0;557,82;1087,62;5;Stayed;Not Churned;26389
5529-GIBVH;1;United States;California;Duncans Mills;95430;38.445603, -123.063756;38,445603;-123,063756;Female;No;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,15;1046,2;No;0;74;2618;Not Churned;57;No;No;0;Q3;No;0;None;3,49;None;0;No;No;0;0;164,03;1210,23;3;Stayed;Not Churned;187
9531-NSBMR;1;United States;California;Mendocino;95460;39.305545, -123.743697;39,305545;-123,743697;Female;No;No;No;36;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19,25;679,8;No;0;79;4904;Not Churned;44;No;No;0;Q3;No;0;None;49,85;None;0;No;No;0;0;1794,6;2474,4;3;Stayed;Not Churned;2229
2616-FLVQC;1;United States;California;Point Arena;95468;38.911299, -123.609588;38,911299;-123,609588;Male;No;No;No;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,55;1240,15;No;0;27;6036;Not Churned;42;No;No;0;Q3;No;0;None;38,96;None;0;No;No;0;0;2493,44;3733,59;3;Stayed;Not Churned;1352
9788-YTFGE;1;United States;California;Fortuna;95540;40.584991, -124.121504;40,584991;-124,121504;Male;No;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,95;147,5;No;0;38;3331;Not Churned;47;No;No;0;Q3;No;0;None;13,86;None;0;No;No;0;0;97,02;244,52;3;Stayed;Not Churned;12241
6265-FRMTQ;1;United States;California;Scotia;95565;40.440636, -124.098739;40,440636;-124,098739;Male;No;No;No;31;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,4;609,1;No;0;29;5363;Not Churned;56;No;No;0;Q3;No;0;None;25,58;None;0;No;No;0;0;792,98;1402,08;3;Stayed;Not Churned;1125
2017-CCBLH;1;United States;California;Weott;95571;40.310119, -123.909449;40,310119;-123,909449;Female;No;No;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20;141,6;No;0;71;3087;Not Churned;55;No;No;0;Q3;No;0;None;23,46;None;0;No;No;0;0;187,68;329,28;3;Stayed;Not Churned;270
5469-NUJUR;1;United States;California;Zenia;95595;40.170357, -123.417298;40,170357;-123,417298;Male;No;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,95;373,5;No;0;50;2831;Not Churned;58;No;No;0;Q3;No;0;None;19,1;None;0;No;No;0;0;362,9;736,4;4;Stayed;Not Churned;259
5624-RYAMH;1;United States;California;Citrus Heights;95610;38.69508, -121.271616;38,69508;-121,271616;Female;No;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19,5;178,85;No;0;64;4283;Not Churned;43;No;No;0;Q3;No;0;None;46,94;None;0;No;No;0;0;422,46;601,31;4;Stayed;Not Churned;43718
7596-IIWYC;1;United States;California;Fiddletown;95629;38.513484, -120.704613;38,513484;-120,704613;Female;No;No;No;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,25;538,2;No;0;79;5250;Not Churned;62;No;No;0;Q3;No;0;None;35,77;None;0;No;No;0;0;965,79;1503,99;3;Stayed;Not Churned;850
7560-QRBXH;1;United States;California;Woodland;95695;38.71967, -121.862416;38,71967;-121,862416;Female;No;No;No;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,95;936,7;No;0;21;3396;Not Churned;32;No;No;0;Q3;No;0;None;9,19;None;0;No;No;0;0;441,12;1377,82;3;Stayed;Not Churned;38547
9046-DQMTP;1;United States;California;Kyburz;95720;38.766036, -120.209673;38,766036;-120,209673;Male;No;No;No;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20,75;739,9;No;0;75;5876;Not Churned;49;No;No;0;Q3;No;0;None;17,92;None;0;No;No;0;0;627,2;1367,1;3;Stayed;Not Churned;183
2958-NHPPS;1;United States;California;Sacramento;95816;38.574856, -121.46504;38,574856;-121,46504;Male;No;No;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;20,85;473,9;No;0;53;4263;Not Churned;45;No;No;0;Q3;No;0;None;35,32;None;0;No;No;0;0;812,36;1286,26;5;Stayed;Not Churned;16164
6979-TNDEU;1;United States;California;Sacramento;95841;38.660442, -121.346321;38,660442;-121,346321;Female;No;No;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,2;156,85;No;0;42;2879;Not Churned;42;No;No;0;Q3;No;0;None;14,32;None;0;No;No;0;0;114,56;271,41;3;Stayed;Not Churned;20993
7427-AUFPY;1;United States;California;Hamilton City;95951;39.732767, -122.042298;39,732767;-122,042298;Male;No;No;No;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,65;1008,7;No;0;70;5708;Not Churned;27;Yes;No;0;Q3;No;0;None;25,72;None;0;No;No;0;0;1388,88;2397,58;5;Stayed;Not Churned;1931
1925-GMVBW;1;United States;California;Oroville;95965;39.624561, -121.552866;39,624561;-121,552866;Female;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,55;96,1;No;0;23;5967;Not Churned;49;No;No;0;Q3;No;0;None;24,53;None;0;No;No;0;0;122,65;218,75;3;Stayed;Not Churned;17782
5312-TSZVC;1;United States;California;Hyampom;96046;40.648024, -123.465088;40,648024;-123,465088;Female;No;No;No;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,65;270,6;No;0;34;4818;Not Churned;36;No;No;0;Q3;No;0;None;23,56;None;0;No;No;0;0;353,4;624;5;Stayed;Not Churned;268
8246-SHFGA;1;United States;California;Mount Shasta;96067;41.33832, -122.290756;41,33832;-122,290756;Male;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);21,1;385,55;No;0;78;2842;Not Churned;24;Yes;No;0;Q3;No;0;None;34,02;None;0;No;No;0;0;578,34;963,89;3;Stayed;Not Churned;7309
2387-KDZQY;1;United States;California;Weaverville;96093;40.759401, -122.939337;40,759401;-122,939337;Male;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,1;279,5;No;0;51;2185;Not Churned;46;No;No;0;Q3;No;0;None;31,6;None;0;No;No;0;0;537,2;816,7;4;Stayed;Not Churned;3749
1498-DQNRX;1;United States;California;Westwood;96137;40.271535, -121.018087;40,271535;-121,018087;Female;No;Yes;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,85;573,05;No;0;59;2712;Not Churned;46;No;Yes;0;Q3;No;0;None;5,69;None;0;No;No;0;0;165,01;738,06;4;Stayed;Not Churned;4158
4735-BJKOU;1;United States;California;Los Angeles;90039;34.110845, -118.259595;34,110845;-118,259595;Female;No;No;No;40;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,15;804,85;No;0;64;3915;Not Churned;33;No;No;0;Q3;No;0;None;8,36;None;0;No;No;0;0;334,4;1139,25;5;Stayed;Not Churned;29310
6223-DHJGV;1;United States;California;Los Angeles;90056;33.987945, -118.370442;33,987945;-118,370442;Female;No;No;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,65;958,1;No;0;49;5956;Not Churned;56;No;No;0;Q3;No;0;None;23,25;None;0;No;No;0;0;976,5;1934,6;4;Stayed;Not Churned;8115
6961-MJKBO;1;United States;California;Los Angeles;90057;34.061918, -118.277939;34,061918;-118,277939;Male;No;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,45;943;No;0;72;4342;Not Churned;27;Yes;No;0;Q3;No;0;None;6,61;None;0;No;No;0;0;310,67;1253,67;4;Stayed;Not Churned;44004
7279-NMVJC;1;United States;California;Compton;90220;33.88151, -118.234451;33,88151;-118,234451;Female;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,9;323,15;No;0;70;2093;Not Churned;38;No;No;0;Q3;No;0;None;25,62;None;0;No;No;0;0;435,54;758,69;4;Stayed;Not Churned;47305
0839-QNXME;1;United States;California;Surfside;90743;33.728273, -118.085304;33,728273;-118,085304;Female;No;No;No;30;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,4;578,5;No;0;78;3986;Not Churned;35;No;No;0;Q3;No;0;None;9,27;None;0;No;No;0;0;278,1;856,6;3;Stayed;Not Churned;174
7190-XHTWJ;1;United States;California;Newbury Park;91320;34.172071, -118.946262;34,172071;-118,946262;Female;No;No;No;38;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,3;755,5;No;0;32;4705;Not Churned;48;No;No;0;Q3;No;0;None;32,63;None;0;No;No;0;0;1239,94;1995,44;5;Stayed;Not Churned;37779
8232-UTFOZ;1;United States;California;Glendora;91740;34.119363, -117.855059;34,119363;-117,855059;Male;No;No;No;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,95;1399,35;No;0;59;4328;Not Churned;24;Yes;No;0;Q3;No;0;None;7,18;None;0;No;No;0;0;495,42;1894,77;4;Stayed;Not Churned;25135
4425-OWHWB;1;United States;California;El Cajon;92019;32.785165, -116.862648;32,785165;-116,862648;Female;No;No;No;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);19,35;433,75;No;0;77;5811;Not Churned;32;No;No;0;Q3;No;0;None;10,9;None;0;No;No;0;0;218;651,75;5;Stayed;Not Churned;40995
4703-MQYKT;1;United States;California;Escondido;92025;33.081478, -117.033814;33,081478;-117,033814;Male;No;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,6;390,4;No;0;22;4562;Not Churned;43;No;No;0;Q3;No;0;None;16,81;None;0;No;No;0;0;353,01;743,41;4;Stayed;Not Churned;49281
8022-BECSI;1;United States;California;Santa Ysabel;92070;33.174725, -116.743329;33,174725;-116,743329;Male;No;No;No;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,6;422,5;No;0;37;2203;Not Churned;62;No;No;0;Q3;No;0;None;20,46;None;0;No;No;0;0;450,12;872,62;5;Stayed;Not Churned;1143
3546-GHEAE;1;United States;California;Blythe;92225;33.674583, -114.71612;33,674583;-114,71612;Male;No;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,45;165,35;No;0;42;2600;Not Churned;29;Yes;No;0;Q3;No;0;None;9,43;None;0;No;No;0;0;66,01;231,36;5;Stayed;Not Churned;24659
5986-WWXDV;1;United States;California;Salton City;92275;33.28156, -115.955541;33,28156;-115,955541;Male;No;No;No;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,35;779,2;No;0;68;2607;Not Churned;42;No;No;0;Q3;No;0;None;48,61;None;0;No;No;0;0;1895,79;2674,99;3;Stayed;Not Churned;799
5039-LZRQT;1;United States;California;Mountain Center;92561;33.638645, -116.55783;33,638645;-116,55783;Female;No;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,2;273,25;No;0;34;2953;Not Churned;52;No;No;0;Q3;No;0;None;26,57;None;0;No;No;0;0;345,41;618,66;5;Stayed;Not Churned;1500
1178-PZGAB;1;United States;California;Sun City;92585;33.739412, -117.173334;33,739412;-117,173334;Female;No;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,25;383,65;No;0;78;5586;Not Churned;45;No;No;0;Q3;No;0;None;18,57;None;0;No;No;0;0;352,83;736,48;4;Stayed;Not Churned;8692
